name,id,width,height,icon_width,icon_height,features,fleaMarket,flea_avg48,flea_ch48percent,prapor,therapist,fence,skier,peacekeeper,mechanic,ragman,jaeger
M4A1,5447a9cd4bdc2dbd208b4567,1,1,,,,57969,82012,-5.5,9198,,7358,,84,10302,,
M855,5447ac644bdc2d6c208b4567,1,1,,,,65123,65123,0,,,400,,,,,
Factory,5448ba0b4bdc2d02308b456c,1,1,,,,77999,79603,4.26,25000,31500,20000,,,,,
PM,5448bd6b4bdc2dfc2f8b4569,2,1,,,,6000,9142,7.64,2548,,2038,,23,2854,,
RGD-5,5448be9a4bdc2dfd2f8b456a,1,1,,,,14555,14397,-2.69,3615,,2892,,,,,
PM,5448c12b4bdc2d02308b456f,1,1,,,,3000,2500,0,,,376,,4,526,,
GEN M3,5448c1d04bdc2dff2f8b4569,1,1,,,,4000,6000,-32.79,,,1202,,14,1683,,
Water,5448fee04bdc2dbc018b4567,1,2,,,,14500,15817,-9.11,,1543,980,,,,,1470
Crackers,5448ff904bdc2d6f028b456e,1,1,,,,13900,14705,3.52,,1513,960,,,,,1441
RUB,5449016a4bdc2d6f028b456f,1,1,,,,,0,,,,,,,,,
AN/PEQ-15,544909bb4bdc2d6f028b4577,1,1,,,,14990,17627,7.22,,,7654,9377,87,10716,,
ER BAYONET,54491bb74bdc2d09088b4567,2,1,,,,11000,11993,-17.86,,,6840,,,,,10260
MP-133,54491c4f4bdc2db1078b4568,3,1,,,,20000,24000,-8.6,7221,,5777,,66,8088,,8665
Alpha,544a11ac4bdc2d470e8b456a,2,2,,,,,0,,,,,,,,,
GEN M3,544a378f4bdc2d30388b4567,1,3,,,,16420,34999,8.07,,,2470,,28,3459,,
MAG5-60,544a37c44bdc2d25388b4567,1,2,,,,,0,,,,9102,,103,12742,,
USGI A2,544a38634bdc2d58388b4568,1,1,,,,1500,6279,-20.69,,,536,656,6,750,,
HAMR,544a3a774bdc2d3a388b4567,2,1,,,,29000,35812,-3.25,,,17160,21021,195,24025,,
AVS,544a5caa4bdc2d1a388b4568,3,4,,,,,0,,42800,,34240,41944,389,,53072,51360
MBSS,544a5cde4bdc2d39388b456b,4,4,,,,9997,12356,-15.67,,,4502,5515,,,6979,6754
Bandage,544fb25a4bdc2dfb738b4567,1,1,,,,2599,3017,3.91,1040,1310,832,,9,,1289,1248
Splint,544fb3364bdc2d34748b456a,1,1,,,,2999,4159,-9.41,1484,1869,1187,,13,,1840,1780
Analgin,544fb37f4bdc2dee738b4567,1,1,,,,5994,7843,1.11,2850,3591,2280,,,,,3420
Morphine,544fb3f34bdc2d03748b456a,1,1,,,,15999,18009,-1.07,12652,15942,10122,,,,,15183
Salewa,544fb45d4bdc2dee738b4568,1,2,,,,18888,24427,-6.1,9431,11883,7545,,,,,11317
MultiTool,544fb5454bdc2df8738b456a,1,1,,,,20000,23423,-13.79,,,8412,,96,11777,,
Pineapple,544fb62a4bdc2dfb738b4568,1,2,,,,9750,10101,-2.66,,1345,854,,,,,1281
Slickers,544fb6cc4bdc2d34748b456e,1,1,,,,8555,9260,1.76,,1426,906,,,,,1359
M855,54527a984bdc2d4e668b4567,1,1,,,,800,616,2.49,55,,44,,,61,,
